,0
0,1664002.9089581128
1,1662739.8876522083
2,1665643.9729737376
3,1665334.5558849128
4,1664757.1286236695
5,1664566.060941712
6,1664566.060941712
7,1664566.060941712
8,1664566.060941712
9,1664566.060941712
10,1664566.060941712
11,1664566.060941712
12,1664566.060941712
13,1664566.060941712
14,1664566.060941712
15,1664566.060941712
16,1664566.060941712
17,1664566.060941712
18,1664566.060941712
19,1664566.060941712
20,1664566.060941712
21,1664566.060941712
22,1664566.060941712
23,1664566.060941712
24,1664566.060941712
25,1664566.060941712
26,1664566.060941712
27,1664566.060941712
28,1664566.060941712
29,1664566.060941712
30,1664566.060941712
31,1664566.060941712
32,1664566.060941712
33,1659657.0230858151
34,1651529.111837151
35,1651294.212193882
36,1651294.212193882
37,1649001.8291148054
38,1648856.598700742
39,1648856.598700742
40,1648856.598700742
41,1648856.598700742
42,1648856.598700742
43,1648856.598700742
44,1648856.598700742
45,1648856.598700742
46,1648856.598700742
47,1648856.598700742
48,1648856.598700742
49,1648856.598700742
50,1648856.598700742
51,1648856.598700742
52,1648856.598700742
53,1648856.598700742
54,1648856.598700742
55,1648856.598700742
56,1648856.598700742
57,1648856.598700742
58,1648856.598700742
59,1648856.598700742
60,1648856.598700742
61,1648856.598700742
62,1648856.598700742
