,0
0,1000000.0
1,999351.5237548746
2,999391.0116444003
3,997069.8932268594
4,996097.3015775784
5,993662.190107528
6,990374.914301346
7,990594.3560289284
8,983887.3194836946
9,984494.0746822818
10,986521.0411906441
11,969629.9795208692
12,987830.900136945
13,985026.5172257893
14,986164.7398283266
15,986693.5835634831
16,992108.4228338992
17,1004883.7950079493
18,990676.0199047442
19,984477.694645336
20,986052.4837032545
21,993117.8259042967
22,991346.7070780696
23,1001367.9360536803
24,1015188.1495656364
25,1014530.652084691
26,988595.5873296531
27,991931.4271660545
28,993376.9640058852
29,984421.8786529431
30,960151.5504259489
31,964980.8629590708
32,954584.5419115056
33,950136.3412284881
34,924482.2048678619
35,948695.36529481
36,942157.9650940278
37,940729.8367927884
38,938938.3192465571
39,911755.4755933969
40,907202.4868004124
41,922405.1173593674
42,894630.722586644
43,893531.6635396879
44,883173.0100522494
45,924115.8836095008
46,923195.1268937245
47,949204.1050946699
48,956179.9338733914
49,952481.99958772
50,975104.3888844735
51,983929.7309204353
52,973843.8921080133
53,959112.2786865854
54,1024940.8096984514
55,1011161.2229468529
56,1016651.5257082616
57,1035685.9507767886
58,1004200.1911794943
59,984817.7045615603
60,999784.6876573251
61,1015121.8002556165
62,1044590.6378950371
63,1056592.2298758163
64,1050755.5732089959
65,1028211.8844977593
66,1042985.1494900851
67,1069759.6333779623
68,1066075.0816970924
69,1047702.0748255245
70,1060788.7425933778
71,1072636.265181897
72,1078080.9692295485
73,1046798.2297028378
74,1061655.265805432
75,1053780.1102127747
76,1061039.0406881527
77,1079838.136306005
78,1070871.2581396718
79,1082736.1162288508
80,1104094.7021748093
81,1103600.919469416
82,1105390.9473208752
83,1135591.7253601765
84,1130121.7243131779
85,1128904.0239631897
86,1121362.3487759756
87,1145613.8675585587
88,1127828.6486350645
89,1132019.95895326
90,1110029.9462137977
91,1113764.1168388717
92,1106189.215849457
93,1143160.2261732325
94,1135936.845351898
95,1126571.0966975458
96,1113576.002142114
97,1110583.1884863833
98,1139403.4087292736
99,1116571.7167898389
100,1131303.8578329526
101,1145324.6586867236
102,1172910.8729420537
103,1171350.9617100735
104,1163406.9648359292
105,1167767.5031643787
106,1164354.9440601938
107,1165483.0499467233
108,1177772.491320924
109,1174226.268420079
110,1167425.590555237
111,1163371.8060378649
112,1147187.6863619979
113,1133911.2449999412
114,1129123.244155675
115,1138778.1901899858
116,1141127.0187952877
117,1107317.4755918279
118,1108155.8127997427
119,1104779.768550522
120,1132690.8936194906
121,1125697.3601406915
122,1137570.7812015065
123,1125877.0340987977
124,1129373.8730319086
125,1097298.480298775
126,1111732.6629390686
127,1090944.7918234384
128,1094786.8206145978
129,1094366.984485219
130,1087885.77990161
131,1114784.474078416
132,1118481.8925358225
133,1160875.55163064
134,1174421.4802203458
135,1185836.3085955193
136,1200656.3215104279
137,1216999.574129104
138,1210510.4222062493
139,1222887.0148871117
140,1231935.5667794517
141,1224193.0643183487
142,1216539.3900894402
143,1217203.527857337
144,1225430.4835451297
145,1222212.6591763212
146,1233596.8515493865
147,1234236.4437555633
148,1242793.1527433675
149,1239490.5263924708
150,1260159.302365213
151,1261153.456622015
152,1246840.9721334635
153,1260132.604771577
154,1265822.5472650118
155,1255598.5100699405
156,1225985.5649779446
157,1242485.2451302193
158,1252243.794146682
159,1264318.6451675892
160,1283025.23169508
161,1279086.719791709
162,1286405.5917820723
163,1293280.905501981
164,1300129.5297855812
165,1293485.0525956093
166,1292077.9189816706
167,1262784.432697668
168,1253345.5099316898
169,1259350.2561055308
170,1271667.6500824832
171,1285228.2691421083
172,1287487.1719564875
173,1297809.250167016
174,1292515.717339695
175,1293699.5334587612
176,1298470.2195166065
177,1320823.161261693
178,1312682.2815125543
179,1317806.566932169
180,1303855.1341751653
181,1307832.9909527802
182,1296812.0266055497
183,1297791.8567700344
184,1292220.6771580644
185,1315831.0227523826
186,1320742.214883737
187,1317528.3076025534
188,1290945.5775413276
189,1292902.3165281157
190,1305605.7649161913
191,1321168.4462460703
192,1327116.010326354
193,1340332.0872262467
194,1341113.9702956637
195,1343007.6720796055
196,1336290.2075460253
197,1349577.5998077567
198,1364651.6128188216
199,1361362.3380195189
200,1376445.5902599357
201,1370355.1683250808
202,1351040.3432379188
203,1375772.231376129
204,1349878.560322772
205,1342256.1796762468
206,1351644.5464268918
207,1330017.3454204316
208,1363284.3130313721
209,1327272.2304099877
210,1348810.4675480535
211,1347078.0349718097
212,1365796.883357723
213,1401977.643900297
214,1396564.8914530969
215,1431250.812266009
216,1434737.4657243683
217,1440133.8621607
218,1423318.1619820374
219,1440548.5545456992
220,1463390.6117250372
221,1460849.1982626142
222,1469083.7496306712
223,1459875.6956263764
224,1464577.1619104818
225,1479369.8368894514
226,1476208.4410499579
227,1481427.7880206439
228,1461691.4166728994
229,1471590.9909165623
230,1475318.0586543544
231,1462842.1017187694
232,1432205.62053279
233,1435493.951831213
234,1436409.4989723559
235,1420233.2090200025
236,1437503.7397111414
237,1446782.5284798592
238,1454188.6364412468
239,1468060.5182439904
240,1458785.5059865841
241,1465103.9036373945
242,1442953.3000027307
243,1445044.794452907
244,1456001.0047329385
245,1463694.6729941254
246,1461673.2037331716
247,1466409.1270747858
248,1461283.6965016234
249,1458993.8001388004
250,1453347.3956757397
251,1440969.8864726957
252,1456158.7831915424
253,1454434.449513308
254,1457924.541532079
255,1467661.291196152
256,1466527.8384596722
257,1463263.0277083302
258,1467995.4268261953
259,1482165.6339272656
260,1494917.4216331197
261,1479656.1609237813
262,1501026.1565565255
263,1497528.5390837358
264,1473277.0297071394
265,1424849.2125725849
266,1418144.149866134
267,1420655.098280172
268,1431200.744630792
269,1411383.851408238
270,1410307.9717393157
271,1428667.2005322478
272,1452075.814132554
273,1436197.961815323
274,1398419.4491290895
275,1395250.3113155272
276,1378127.159663527
277,1394792.073731388
278,1393460.8522946178
279,1408579.9797489194
280,1407711.385298038
281,1436120.792995194
282,1430091.9662710216
283,1436568.273263719
284,1437944.7738454344
285,1435717.3797034004
286,1418671.676846598
287,1435908.902019624
288,1426654.4291714244
289,1426454.842359705
290,1430195.9452027797
291,1433792.682167615
292,1428893.257586416
293,1434273.904810762
294,1454259.7370846078
295,1451983.39070209
296,1448784.8197000688
297,1445680.820498599
298,1452602.2678582307
299,1463442.962096829
300,1470235.2695336791
301,1475392.66850209
302,1481598.2281493128
303,1486139.569475247
304,1474228.7091500224
305,1490180.6801003537
306,1501330.3661278347
307,1488205.6960956173
308,1495652.1943622534
309,1494580.5726435336
310,1502788.2047271682
311,1499280.2347718733
312,1492067.4195912953
313,1507041.5323128728
314,1520550.1576358518
315,1520468.1098810679
