,0
0,1277.8980107097887
1,4060.0106900548562
2,1026.7696200446226
3,-472.37132130982354
4,519.7796043807175
5,-11.254397950135171
6,-4812.495374293765
7,1388.9064475670457
8,9288.072023597546
9,5258.142966300948
10,17787.26394592016
11,-2723.616635442013
12,12071.724320260808
13,-4504.33049401897
14,15928.698045073776
15,-2055.8535098761786
16,2261.985101159429
17,6779.29313976923
18,-9530.355751343071
19,-522.7327807615511
20,4682.772452544887
21,5429.708203888265
22,-3507.187875671545
23,-3984.2475648499094
24,-7173.189931182656
25,-1959.775233306922
26,-1941.652659759391
27,-5741.0719171145465
28,2482.933091583429
29,-3882.686925811926
30,-5417.185302123893
31,9309.454473266844
32,-2895.9877720645163
33,7107.191399078118
34,7690.138721924042
35,-6514.307133025955
36,888.1648876951076
37,1373.4362693787552
38,18726.472297515953
39,17452.230363006936
40,20204.820121001918
41,-516.1781864932273
42,3725.8045080567244
43,-10703.497150421143
44,-7270.320121002151
45,3038.167547454592
46,8529.558428497287
47,2299.777547455393
48,6683.917150420835
49,497.6835922242608
50,-5650.86607955955
51,6135.663644409273
52,8268.518100280548
53,-5359.909689178225
54,-2929.2184111021925
55,6480.649499359075
56,-4067.0610708617605
57,-1114.7443696595728
58,-357.3668048097752
59,4717.271606293041
60,-7986.016079559224
61,9043.748635711847
