,0
0,1578678.9934171143
1,1577239.703762478
2,1578575.299470311
3,1578143.2667358657
4,1577067.2019917888
5,1576857.067840945
6,1576857.067840945
7,1576857.067840945
8,1576857.067840945
9,1576857.067840945
10,1576857.067840945
11,1576857.067840945
12,1576857.067840945
13,1576857.067840945
14,1576857.067840945
15,1576857.067840945
16,1576857.067840945
17,1576857.067840945
18,1576857.067840945
19,1576857.067840945
20,1576857.067840945
21,1576857.067840945
22,1576857.067840945
23,1576857.067840945
24,1576857.067840945
25,1576857.067840945
26,1576857.067840945
27,1576857.067840945
28,1576857.067840945
29,1576857.067840945
30,1576857.067840945
31,1576857.067840945
32,1576857.067840945
33,1570544.2103572835
34,1559465.529621007
35,1559088.6398435486
36,1559088.6398435486
37,1556194.247555621
38,1555982.286624524
39,1555982.286624524
40,1555982.286624524
41,1555982.286624524
42,1555982.286624524
43,1555982.286624524
44,1555982.286624524
45,1555982.286624524
46,1555982.286624524
47,1555982.286624524
48,1555982.286624524
49,1555982.286624524
50,1555982.286624524
51,1555982.286624524
52,1555982.286624524
53,1555982.286624524
54,1555982.286624524
55,1555982.286624524
56,1555982.286624524
57,1555982.286624524
58,1555982.286624524
59,1555982.286624524
60,1555982.286624524
61,1555982.286624524
62,1555982.286624524
