account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999320.7920468792,20160105,-0.0006792079531208195,2016-01-05
994258.050218694,20160106,-0.005066182819848386,2016-01-06
984759.5958091285,20160107,-0.009553309030262636,2016-01-07
980092.8446982659,20160108,-0.004738975005395218,2016-01-08
982626.9679762536,20160111,0.0025855951216211537,2016-01-11
987486.9980607808,20160112,0.004945956342452762,2016-01-12
964271.3556026514,20160113,-0.023509820892548605,2016-01-13
978373.5586236664,20160114,0.014624724605867279,2016-01-14
956558.8840622872,20160115,-0.022296876657283304,2016-01-15
956777.6804765072,20160119,0.0002287328233163688,2016-01-19
943772.656247172,20160120,-0.013592524673922357,2016-01-20
946570.2642534827,20160121,0.002964281691986148,2016-01-21
955113.2338566452,20160122,0.0090251827315746,2016-01-22
941391.7466746422,20160125,-0.014366345995015739,2016-01-25
957630.5153474616,20160126,0.01724974616590913,2016-01-26
948335.2064140721,20160127,-0.009706571359640592,2016-01-27
953755.7440319085,20160128,0.005715845600980041,2016-01-28
978377.2430667713,20160129,0.025815308782076496,2016-01-29
976883.470842772,20160201,-0.0015267855365451721,2016-02-01
956536.9844208807,20160202,-0.020827956485268584,2016-02-02
965420.1049798178,20160203,0.009286750751530182,2016-02-03
973212.3514276334,20160204,0.008071352986769087,2016-02-04
964527.5668626331,20160205,-0.00892383306917588,2016-02-05
951727.6763220887,20160208,-0.013270632152255879,2016-02-08
951085.0716492572,20160209,-0.0006751980517313294,2016-02-09
943704.2271085228,20160210,-0.0077604462111212635,2016-02-10
929772.5809708631,20160211,-0.014762725160557766,2016-02-11
949476.7999751364,20160212,0.02119251460792526,2016-02-12
964569.2136831464,20160216,0.015895505512515173,2016-02-16
978960.6434950869,20160217,0.014920059242807149,2016-02-17
979321.348023366,20160218,0.00036845661843076805,2016-02-18
979057.7124248224,20160219,-0.000269202340044683,2016-02-19
992970.9975524644,20160222,0.014210893751281706,2016-02-22
979891.9395978408,20160223,-0.013171641454646332,2016-02-23
984684.8151030114,20160224,0.004891228625819366,2016-02-24
998428.2409153987,20160225,0.01395718264524004,2016-02-25
994904.1291745064,20160226,-0.0035296595153010424,2016-02-26
988617.9849429119,20160229,-0.006318341684650841,2016-02-29
1010891.8051251994,20160301,0.022530259940166664,2016-03-01
1014483.8758591932,20160302,0.0035533681406676454,2016-03-02
1020292.589145352,20160303,0.005725781773751049,2016-03-03
1024080.8417011015,20160304,0.003712908038391971,2016-03-04
1026699.059149579,20160307,0.0025566511371586387,2016-03-07
1020529.641351704,20160308,-0.006008983589587791,2016-03-08
1022017.2446603434,20160309,0.0014576777080859138,2016-03-09
1021901.4166837864,20160310,-0.00011333270271329798,2016-03-10
1034983.3595448476,20160311,0.012801570334948664,2016-03-11
