,0
0,1666182.3691328291
1,1677685.592038977
2,1689010.9794201348
3,1687321.9801076227
4,1687321.9801076227
5,1687321.9801076227
6,1687321.9801076227
7,1687321.9801076227
8,1687321.9801076227
9,1687321.9801076227
10,1687321.9801076227
11,1687321.9801076227
12,1687321.9801076227
13,1687321.9801076227
14,1687321.9801076227
15,1687321.9801076227
16,1687321.9801076227
17,1687321.9801076227
18,1687321.9801076227
19,1687321.9801076227
20,1687321.9801076227
21,1687321.9801076227
22,1687321.9801076227
23,1687321.9801076227
24,1687321.9801076227
25,1687321.9801076227
26,1687321.9801076227
27,1687321.9801076227
28,1687321.9801076227
29,1687321.9801076227
30,1687321.9801076227
31,1687321.9801076227
32,1687321.9801076227
33,1687321.9801076227
34,1687321.9801076227
35,1687321.9801076227
36,1687321.9801076227
37,1687321.9801076227
38,1687321.9801076227
39,1687321.9801076227
40,1687321.9801076227
41,1687321.9801076227
42,1687321.9801076227
43,1687321.9801076227
44,1687321.9801076227
45,1687321.9801076227
46,1687321.9801076227
47,1687321.9801076227
48,1687321.9801076227
49,1687321.9801076227
50,1687321.9801076227
51,1684315.8345209144
52,1685683.4367819733
53,1684692.13619405
54,1670992.481704166
55,1658573.2263752895
56,1678000.4523003018
57,1666098.5058620013
58,1663027.1005094456
59,1675211.930697983
60,1652302.47620946
61,1672028.451978246
62,1685339.8153778806
