,0
0,1000000.0
1,999645.3811152306
2,999549.8292451157
3,997575.7667663754
4,997358.5069772409
5,995682.8270677339
6,993378.5482680884
7,993646.8454985352
8,988409.2678995263
9,988505.0742737271
10,990203.1407469434
11,979504.536217565
12,986584.8026384178
13,984548.6582411923
14,981986.7355612823
15,982899.6672948268
16,988851.3688736018
17,1001116.2737343141
18,993573.350741266
19,982104.7625340901
20,976075.2098558245
21,982011.6840494176
22,976849.1401501352
23,988970.0778391359
24,1003688.2283446193
25,1004545.2501001945
26,971312.3864982754
27,975095.9299030437
28,975315.6970320325
29,966568.476386587
30,936103.490392371
31,937890.5478469471
32,934225.6893692915
33,925829.3022023105
34,900117.5253379389
35,939369.2905362934
36,928023.2872871138
37,917831.447538767
38,899359.7031380228
39,857722.4621049757
40,852516.2961125716
41,875664.6266946875
42,835334.863786389
43,827425.6083257865
44,818456.4625361214
45,875523.7480492904
46,882727.7870385788
47,915955.3387932887
48,925746.9221141225
49,916476.6869918084
50,942439.5132680191
51,960013.3289034469
52,935594.7998600499
53,917780.504789924
54,989996.8664189946
55,971039.6937437833
56,984040.4166971211
57,1005941.6238001498
58,987209.9311025819
59,950294.3760945264
60,965720.809963218
61,989983.2930781252
62,1016680.8273015901
63,1025296.9933537135
64,1018027.96310356
65,995189.2122489138
66,1000295.3878857035
67,1043756.8351691364
68,1051153.5497633922
69,1021424.8849626313
70,1044594.0978934071
71,1054657.974561405
72,1053621.6462321049
73,1011132.9923176928
74,1035077.2802702592
75,1024856.1160872617
76,1041914.5847874653
77,1066738.098218185
78,1062513.3684111761
79,1057085.5863354793
80,1085605.857032954
81,1088676.6837402694
82,1094130.5858391298
83,1129073.6594944731
84,1127667.6381070854
85,1146985.474166458
86,1126191.5338422912
87,1160341.622070191
88,1130629.5083562925
89,1132299.2326127908
90,1096987.5051047334
91,1109343.0962029041
92,1101651.1440587013
93,1142737.3155199501
94,1133276.9886138686
95,1120335.2263907772
96,1101353.9735496477
97,1092862.4288893496
98,1125993.726320365
99,1101614.2223278682
100,1116481.2212105335
101,1129901.6631797305
102,1161906.8132691826
103,1158625.3440640203
104,1149168.5296466423
105,1164634.9945122255
106,1168700.594727619
107,1172084.4935794217
108,1168718.2541301523
109,1161327.1889766138
110,1159862.6412958005
111,1160455.2010144398
112,1132921.201339019
113,1118287.7664528873
114,1114179.420760305
115,1124091.1478630258
116,1125332.0010400682
117,1090140.6320685677
118,1089771.6892677264
119,1089074.746042363
120,1117663.4259585128
121,1118844.1306296177
122,1128461.1789179663
123,1113254.4113985351
124,1119276.4035882214
125,1088634.9480737753
126,1098475.031211017
127,1075893.6959112424
128,1080665.8497562408
129,1084382.1531143654
130,1079674.3193471543
131,1114092.6259396821
132,1117565.1081123904
133,1163499.1096015698
134,1177966.3439912605
135,1186000.748947816
136,1210436.3900813856
137,1221604.2646738235
138,1212101.3922644944
139,1246256.9786432667
140,1248532.5980837848
141,1249581.0457307852
142,1247065.1714389683
143,1240997.4556582407
144,1261505.662902252
145,1268039.1056252967
146,1287842.3033852535
147,1297207.720873783
148,1298090.6129375715
149,1300319.1617726428
