account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999749.037831218,20160105,-0.0002509621687820651,2016-01-05
996728.494434246,20160106,-0.003021301629381412,2016-01-06
992392.813800716,20160107,-0.004349911392862338,2016-01-07
989915.0821025999,20160108,-0.002496724748163648,2016-01-08
990742.2777561888,20160111,0.0008356228413368694,2016-01-11
993758.7743272336,20160112,0.0030446834043222903,2016-01-12
985344.6234317641,20160113,-0.008466995324057147,2016-01-13
992559.8461576848,20160114,0.007322537267003604,2016-01-14
980243.6027451352,20160115,-0.012408565045450182,2016-01-15
980572.4995699279,20160119,0.00033552560187244396,2016-01-19
972717.699538514,20160120,-0.008010422518333948,2016-01-20
973437.6246980504,20160121,0.0007401172610286277,2016-01-21
986427.001527526,20160122,0.013343820394763117,2016-01-22
974309.2637581044,20160125,-0.012284474928866196,2016-01-25
983839.7792521368,20160126,0.00978181758969554,2016-01-26
975699.7994747206,20160127,-0.008273684342793852,2016-01-27
981556.1789051944,20160128,0.006002234943193185,2016-01-28
1003531.1792916704,20160129,0.02238791916218852,2016-01-29
998431.886321092,20160201,-0.0050813498133438495,2016-02-01
977162.9384835295,20160202,-0.02130235234767186,2016-02-02
983234.2448148816,20160203,0.0062131975049875,2016-02-03
988816.6384870228,20160204,0.005677582632602762,2016-02-04
976101.9472184195,20160205,-0.012858492438049929,2016-02-05
961390.9447329805,20160208,-0.015071174201998772,2016-02-08
959857.4230550706,20160209,-0.001595107262359119,2016-02-09
954977.8839306559,20160210,-0.0050836082601558585,2016-02-10
944935.4376913202,20160211,-0.010515894041442486,2016-02-11
965480.0655121851,20160212,0.021741832300267827,2016-02-12
977709.005851594,20160216,0.012666175901748344,2016-02-16
993579.5106961272,20160217,0.01623233983685135,2016-02-17
988701.1259347398,20160218,-0.004909908778180649,2016-02-18
986794.0324365796,20160219,-0.0019288877580241337,2016-02-19
998052.5748599193,20160222,0.011409212108366873,2016-02-22
981074.4363348936,20160223,-0.0170112666934491,2016-02-23
984724.6690935123,20160224,0.0037206481215179554,2016-02-24
995112.8699489088,20160225,0.01054934560028764,2016-02-25
992260.4887748031,20160226,-0.0028663895928229266,2016-02-26
982670.0987888543,20160229,-0.009665193862340105,2016-02-29
1006606.9872963654,20160301,0.024359028057344467,2016-03-01
1010943.1210177587,20160302,0.004307672980732757,2016-03-02
1012647.8004354256,20160303,0.0016862268333659447,2016-03-03
1014078.6244520849,20160304,0.001412953265729655,2016-03-04
1017380.9221255832,20160307,0.0032564513183408472,2016-03-07
1004656.4624551388,20160308,-0.012507075170880455,2016-03-08
1007833.2691399505,20160309,0.0031620825660627627,2016-03-09
1008247.4512473246,20160310,0.000410962924182412,2016-03-10
1020755.220570348,20160311,0.0124054559300395,2016-03-11
1020335.513849836,20160314,-0.00041117273960888934,2016-03-14
1018639.1976646156,20160315,-0.001662508226161763,2016-03-15
1017943.1467064215,20160316,-0.0006833145237193916,2016-03-16
1030747.5441437828,20160317,0.01257869604878259,2016-03-17
1037201.6828560131,20160318,0.0062616095948029304,2016-03-18
1033728.6780782624,20160321,-0.0033484372761404257,2016-03-21
1031569.0140332434,20160322,-0.0020891981530722914,2016-03-22
1026976.4958660592,20160323,-0.004451973745535742,2016-03-23
1027407.9649229187,20160324,0.00042013527923590033,2016-03-24
1028495.9256017142,20160328,0.0010589373607563513,2016-03-28
1037484.182264348,20160329,0.008739224375026389,2016-03-29
1042382.042876865,20160330,0.004720901480952833,2016-03-30
1039172.7838304131,20160331,-0.0030787743019773384,2016-03-31
1044020.9984204744,20160401,0.004665455702362209,2016-04-01
1041167.7393452863,20160404,-0.0027329518079663995,2016-04-04
1041167.7393452863,20160405,0.0,2016-04-05
1039955.172470648,20160406,-0.0011646220189273082,2016-04-06
1023456.0932501884,20160407,-0.015865183093673463,2016-04-07
1026994.0543969455,20160408,0.0034568763331328523,2016-04-08
1027703.9380639016,20160411,0.0006912247095460788,2016-04-11
1037926.9182982895,20160412,0.009947398132624796,2016-04-12
1053722.0494610828,20160413,0.015217960806614306,2016-04-13
1056559.689069185,20160414,0.0026929678557581216,2016-04-14
1051223.5921474295,20160415,-0.005050445305609275,2016-04-15
1060717.4486128916,20160418,0.009031243720537319,2016-04-18
1069603.1543771862,20160419,0.008377071364211508,2016-04-19
1074520.720359093,20160420,0.004597561218646851,2016-04-20
1070662.9744683295,20160421,-0.0035902014895295986,2016-04-21
1067580.6591239579,20160422,-0.0028788847824893216,2016-04-22
1065262.6341583678,20160425,-0.002171287898276697,2016-04-25
1065983.7449291658,20160426,0.0006769323804995953,2016-04-26
1070795.330010665,20160427,0.00451375089384598,2016-04-27
1059582.7898379238,20160428,-0.010471226254441746,2016-04-28
1058012.9172753834,20160429,-0.0014815949990850674,2016-04-29
1066112.0501394314,20160502,0.007655041570669097,2016-05-02
1054353.2913476268,20160503,-0.011029571225901313,2016-05-03
1047535.5236428069,20160504,-0.006466302861449558,2016-05-04
