,0
0,1508397.4371320833
1,1494613.8622566247
2,1495986.831031137
3,1511188.446215742
4,1502657.123855535
5,1513524.1808346857
6,1507944.28800685
7,1518481.4652803075
8,1527531.7676288316
9,1523613.4651776948
10,1518785.1549305287
11,1517587.8602244626
12,1517587.8602244626
13,1517587.8602244626
14,1517587.8602244626
15,1517587.8602244626
16,1517587.8602244626
17,1517587.8602244626
18,1517587.8602244626
19,1517587.8602244626
20,1517587.8602244626
21,1517587.8602244626
22,1517587.8602244626
23,1517587.8602244626
24,1517587.8602244626
25,1517587.8602244626
26,1517587.8602244626
27,1517587.8602244626
28,1517587.8602244626
29,1517973.635833053
30,1517818.4056437332
31,1517521.4307665038
32,1519314.424731821
33,1518076.1205455007
34,1518815.695134934
35,1516629.3193095298
36,1515840.6507125888
37,1506216.5963945487
38,1512811.4867351837
39,1506773.5951522945
40,1513554.772052491
41,1519007.070527289
42,1517703.8584380876
43,1528460.6472569772
44,1533684.9929009413
45,1535306.1696234166
46,1534787.6532443515
47,1533190.906864536
48,1528500.8093962884
49,1526378.2557827411
50,1521575.8042599978
51,1515815.7550553107
52,1504602.3385907956
53,1502614.3222088257
54,1496192.2567017642
55,1500138.7021758324
56,1482046.6888530878
57,1486284.172418574
58,1476316.1590732043
59,1484759.509250287
60,1483077.4308454539
61,1481594.3795186037
62,1481594.3795186037
