,0
0,1000000.0
1,999819.6343611801
2,999786.8399862123
3,998159.422267168
4,997570.8366866433
5,995117.9967164105
6,992945.2837377082
7,992281.153064444
8,985735.733415365
9,987127.4776812824
10,990199.4338164991
11,979481.2984726646
12,987447.9358937268
13,986469.677370073
14,985780.6895830862
15,985963.5001090451
16,988813.6842205565
17,995134.0754557673
18,982481.1416512122
19,975240.2029097601
20,973773.2904423515
21,980615.1673109742
22,974646.012394012
23,982499.1210981959
24,987696.3699111373
25,986001.6613138011
26,967792.437841341
27,967244.4609679878
28,968212.7170659509
29,962372.2210980396
30,950070.9451873999
31,953502.4288912608
32,951635.2902211581
33,945669.3287732581
34,926396.0259066923
35,943111.7106991024
36,934041.8070066366
37,922782.52304588
38,914548.7970260077
39,893333.1713525415
40,889587.340046687
41,902580.6887386335
42,882922.5806899015
43,890474.795116252
44,878145.2627825127
45,911122.4530180346
46,903308.5952773795
47,924154.289930881
48,928858.3394657997
49,927423.5589788298
50,948646.5696861643
51,956892.8771079633
52,945238.7810538447
53,927894.9460901862
54,977865.6771398219
55,965312.8336218419
56,973548.3636480055
57,992743.87069343
58,976583.2680572135
59,953821.4225722406
60,961084.9545790595
61,977609.0795135271
62,1003839.5750371369
63,1012198.7294078495
64,1008260.8234485385
65,987946.1256800208
66,991830.0705696286
67,1005939.6134195758
68,1001460.6862634164
69,989898.2655896263
70,999209.6255651931
71,1002794.9141071338
72,1002203.6936806127
73,974154.9735410702
74,990374.0288858789
75,976604.4124254801
76,985202.6612847394
77,994289.6652585992
78,989962.6316180638
79,1000926.901925189
80,1024448.3935778586
81,1028907.8664715199
82,1034112.4502285987
83,1049340.17589284
84,1050201.5641570764
85,1045996.0256347426
86,1051744.1443950674
87,1078706.5984017253
88,1066334.899950439
89,1074562.0613724955
90,1048402.030417605
91,1052853.078066393
92,1042724.071156245
93,1074871.2420310646
94,1072705.0906426872
95,1063817.7202641682
96,1046081.9791510797
97,1048680.339768512
98,1066659.8795569933
99,1049598.7644879625
100,1059641.2849500605
101,1066117.079591922
102,1094492.8067466037
103,1110635.3706568398
104,1098754.4739600962
105,1108462.2912924213
106,1109345.632240525
107,1104398.7939456082
108,1107076.767573667
109,1106553.1553615504
110,1102211.823569492
111,1101728.8887428974
112,1079152.1944376626
113,1066184.3523319403
114,1067207.8527919478
115,1071040.3267785136
116,1065143.9084435543
117,1036739.3226897591
118,1037030.4409287018
119,1034311.0136811069
120,1054288.9608543466
121,1045362.1782929723
122,1060341.63959232
123,1051144.9656267914
124,1056753.5088305243
125,1025878.9629928425
126,1025483.3755893079
127,1009791.9138485129
128,1007008.8814658851
129,1004801.329175968
130,996457.1925350582
131,1010942.8382522732
132,1016601.426038105
133,1051277.666045942
134,1053767.1978753647
135,1058158.9172014361
136,1071681.628920284
137,1088645.4368032229
138,1087895.3138747609
139,1110270.2342783923
140,1115736.531440134
141,1119108.5021597897
142,1116768.0310910924
143,1113492.1964067935
144,1118599.6063472722
145,1114564.5568462734
146,1125798.7987007042
147,1126299.0112488458
148,1118161.3694130625
149,1115106.3110554945
150,1114343.9769456522
151,1108216.4443157231
152,1099173.4146934226
153,1113713.5732698191
154,1117132.88967402
155,1107122.18570596
156,1083248.3064810042
157,1085324.2693733254
158,1100720.8954620464
159,1111634.0307246791
160,1132096.9114381531
161,1143511.953974174
162,1136331.1661233364
163,1140549.423811191
164,1133697.2937277313
165,1128659.5768362086
166,1115003.3372218823
167,1099505.6557805648
168,1101466.1760659365
169,1106200.7558137623
170,1121299.5387792245
171,1133163.5464002602
172,1138620.8756583822
173,1148499.7211928857
174,1142982.5222531806
175,1145397.0666184442
176,1140685.4140794137
177,1155103.2536391197
178,1152473.560804885
179,1154560.5006630048
180,1151357.413249193
181,1153940.0618147815
182,1137274.5092922687
183,1133686.0156099512
184,1125339.4111949464
185,1144050.2067727058
186,1136262.514830239
187,1131286.2809816701
188,1109440.2526402865
189,1098175.620852824
190,1112786.5851492085
191,1128850.5102634968
192,1131207.1813483902
193,1136698.1847574564
194,1143591.510962331
195,1149214.2269781674
196,1150673.5302150683
197,1174282.4008150718
198,1185781.5530086013
199,1184224.8171961426
200,1194647.6426101548
201,1188148.2062407779
202,1182647.4767045535
203,1199920.8610288622
204,1187112.269260401
205,1177118.1134965934
206,1193067.388558607
207,1175830.1584843148
208,1186822.8694864523
209,1149890.7979035745
210,1160104.4222744007
211,1155535.0216376367
212,1155668.1696930768
213,1179460.2490969694
214,1180033.605750071
215,1191656.4045903534
216,1188208.1293038556
217,1196526.9311011438
218,1185493.9071524234
219,1194654.3077269013
220,1217344.8394425388
221,1226903.389605287
222,1227063.3247742178
223,1217057.3142356568
224,1212731.2270724163
225,1231888.5124159711
226,1233786.7038660988
227,1239662.4470893228
