update,pg_mix_loss,pg_ex_loss
1,-66.170265,0.39828247
2,-55.304432,0.16557916
3,-50.492416,-0.073384285
4,-70.19728,0.34824526
5,-24.02888,-0.6970249
6,-117.69204,1.4283541
7,-47.165035,-0.16309825
8,-97.83582,1.013815
9,-7.350396,-1.0792649
10,12.9075775,-1.5671216
11,-4.012188,-1.1619357
12,-68.88579,0.355582
13,-57.656086,0.12682277
14,-28.31666,-0.4496506
15,-86.570015,0.785971
16,12.515229,-1.5311464
17,24.4441,-1.8190706
18,-115.82346,1.4294266
19,-33.379974,-0.41436487
20,-35.953907,-0.4503942
21,-6.5857573,-1.072766
22,-67.94587,0.22507265
23,-75.11349,0.50647306
24,-59.571056,0.012435699
25,-131.57126,1.9088819
26,-76.63071,0.5003326
27,81.15873,-3.0789757
28,19.322401,-1.704664
29,-24.95925,-0.6345852
30,-13.068541,-0.9478949
31,-57.771576,0.22320375
32,32.834206,-2.0470064
33,-42.364845,-0.16267622
34,-33.79624,-0.39613813
35,9.874304,-1.4399607
36,-23.065134,-0.59310263
37,-63.567158,0.24803536
38,-30.523102,-0.41881067
39,13.613207,-1.5508802
40,-4.1879616,-1.063153
41,-141.64476,2.1528058
42,-77.10459,0.6753508
43,123.247826,-3.9597354
44,27.306957,-1.7897327
45,-49.495876,-0.058050144
46,-18.781092,-0.7412838
47,-116.809494,1.5087163
48,-27.240677,-0.38771787
49,-16.985712,-0.53139853
50,-13.458878,-0.7960999
51,22.602055,-1.6918112
52,-43.78888,0.005071649
53,-299.01007,5.658256
54,-99.76103,1.2096142
55,-114.51012,1.6367044
56,23.397274,-1.3217604
57,48.06147,-1.2588469
58,-21.935999,-0.53632003
59,16.255184,-1.6023271
60,49.891003,-1.4284608
61,-33.301384,-0.18979083
62,8.94583,-0.978521
63,11.2049885,-0.634041
64,10.323201,-0.9987666
65,-81.88128,1.4673684
66,-136.24982,2.157221
67,-143.50269,2.3543637
68,-21.731823,-0.018440032
69,-183.0174,3.325021
70,-78.77699,0.85446775
71,23.286234,-1.4428183
72,-105.82511,1.7258666
73,90.38944,-3.2929218
74,-55.557343,-1.1916835
75,-207.22842,4.96428
76,121.690956,-3.5086803
77,79.96379,-2.9838
78,88.34449,-1.6129389
79,-32.16317,0.19884965
80,-1.1524612,-0.64875615
81,-159.3302,2.8875775
82,-63.85011,0.64445955
83,-82.92708,0.59621584
84,144.49606,-3.1707122
85,-8.418566,-0.2863248
86,12.646923,-0.4713819
87,50.323586,-2.4584858
88,-45.57831,0.9826045
89,23.514038,-1.6552837
90,-24.15545,0.41167235
91,-11.395311,-0.024437558
92,-30.92905,-0.327001
93,63.363873,-2.7786937
94,-116.89488,1.5404648
95,22.544714,-1.7443264
96,-66.216675,1.2209456
97,79.24056,-3.5446796
98,25.70364,-0.6231791
99,-52.623787,-0.10624273
100,-45.19944,0.16232523
101,-9.596877,-0.96544325
102,-22.200117,0.26121032
103,43.55436,0.38409767
104,17.021912,-1.1211917
105,17.200346,-1.2871498
106,73.686195,-0.10120539
107,15.222362,0.520842
108,-102.81266,0.38633496
109,44.368824,-0.58396494
110,-127.52805,2.5615897
111,-17.791782,0.29616505
112,140.07118,0.1973847
113,-18.234535,-0.45062357
114,-24.891386,-0.44741774
115,-42.851192,-0.089404725
116,123.75568,-2.0950072
117,132.07277,-2.1539102
118,-41.788082,2.8837082
119,-70.876595,0.12778361
120,-36.322094,1.1264536
121,1.9305298,0.5252279
122,-118.895584,2.117335
123,-55.04196,0.048651062
124,14.51031,-2.06601
125,-37.99691,1.1496376
126,74.316605,-2.687473
127,-107.00045,1.2899302
128,22.028414,-1.1579252
129,-74.74306,-0.2344146
130,-198.97647,3.1359596
131,-67.213394,1.664943
132,122.89565,-2.5234041
133,29.524942,0.21252981
134,142.50156,-3.9962654
135,-30.657917,1.5281528
136,70.78183,-3.5469093
137,-119.172775,4.295128
138,-4.400792,-0.25313294
139,-10.052116,-0.6996228
140,96.18251,-3.485379
141,-18.370342,-2.2899027
142,107.826965,-2.0690746
143,-38.672466,1.0215441
144,-121.83718,4.4985113
145,-62.69591,3.1464756
146,-169.52388,3.9499836
147,187.25322,-3.3431726
148,-55.937023,0.28068238
149,-31.508778,0.46642843
150,49.012005,-0.058098197
151,-54.392433,0.5704204
152,-51.527733,0.17901814
153,-25.196583,0.035281252
154,61.00686,-1.1744026
155,47.44993,2.5256348
156,18.297281,-0.5507675
157,40.622444,-1.2173569
158,32.000618,2.1123223
159,-29.285416,-2.2254865
160,-40.997402,1.9685929
161,156.08812,-4.632742
162,-58.599586,-0.5681574
163,31.27891,0.73150027
164,-125.74766,-0.023598665
165,20.153622,-2.1102033
166,13.077864,2.304272
167,95.37971,-2.5060074
168,-56.49535,0.52709675
169,-114.3101,1.7170317
170,-183.44392,2.8945026
171,11.486628,-3.11885
172,-177.42566,6.380437
173,109.16972,-3.5239263
174,95.96055,-3.5663428
175,-85.30473,1.7782797
176,124.31844,-4.3118567
177,-118.61997,2.5814915
178,-41.307644,-0.5894996
