,0
0,1205.276310536079
1,8550.780146898935
2,330.91439019539393
3,-1360.2499903552234
4,3676.6842020147014
5,227.57382251904346
6,539.9272245240863
7,1943.6238213814795
8,6497.426149393432
9,-4527.499284845777
10,5558.76538420259
11,-115.32318354421295
12,7572.864198956173
13,253.80246173078194
14,24211.18541432987
15,-8056.156979791587
16,2022.7671873469371
17,11346.570047849324
18,-3388.6890375742223
19,1879.0148427602835
20,2891.0110807029996
21,6306.675405190792
22,3945.7834128553513
23,5843.986787863541
24,3554.0662235212512
25,-2094.256481902441
26,-8510.306644660654
27,-1101.6700925442856
28,-309.8155157554429
29,-529.3119288571179
30,-14813.5580600393
31,9924.970482838107
32,-6166.201377250021
33,4641.8825113251805
34,12334.858696278185
35,-540.1037833639421
36,-1449.9169445133302
37,827.2266007335857
38,11047.22583213728
39,-4726.626316355076
40,20577.791008452186
41,-1433.0649644399527
42,-4814.5011027902365
43,-5674.46703335247
44,548.1603404243942
45,5604.830653200857
46,1722.5368276704103
47,6739.734743960435
48,-3799.147155227838
49,16015.545406687772
50,-9310.894168047002
51,9774.524511094904
52,15820.64296861412
53,-338.59694147948176
54,1115.840804100735
55,2600.402124731336
56,1780.0029961473774
57,-6500.993763273116
58,4941.158188299509
59,3997.861201089341
60,-7437.1885338719
61,3630.496178232832
