,0
0,1168211.1002142979
1,1184488.9198447408
2,1179877.707362933
3,1179946.0770179937
4,1174856.9181492974
5,1171129.985935369
6,1179009.1011908613
7,1174966.19197303
8,1173526.6142495198
9,1176611.6843499716
10,1172771.235189865
11,1165506.4732004518
12,1177300.2967552703
13,1174582.1017147647
14,1192891.2088515013
15,1201288.9033086514
16,1202727.624359735
17,1201398.2882907696
18,1192024.9742672294
19,1187198.0138780645
20,1184345.0121210602
21,1186781.5883420974
22,1188356.3361266449
23,1189677.8632754823
24,1194076.8099258952
25,1192899.2671935388
26,1203012.3880623844
27,1208929.66378354
28,1215960.204916759
29,1219203.7300359746
30,1228088.0115025216
31,1226213.4247966004
32,1228154.3998322594
33,1232983.8030132272
34,1234789.9336061892
35,1232173.253441152
36,1234345.6901790204
37,1231725.34979054
38,1228952.8925350006
39,1241424.6964539008
40,1232102.9579232489
41,1228011.7579387268
42,1227988.2219110064
43,1226181.1517022306
44,1219788.5952183197
45,1215815.0066304267
46,1219781.6100672986
47,1214992.5490451513
48,1213166.3781370493
49,1220148.2756666231
50,1219573.5587060496
51,1217082.6111334919
52,1221551.9743704135
53,1211367.5691996617
54,1202548.9864315295
55,1203914.261900056
56,1203889.5392350547
57,1203114.4139973877
58,1209537.17871614
59,1209607.6181368954
60,1208733.8510417244
61,1206687.5673558984
62,1204726.7722094664
