,0
0,1000000.0
1,999344.2083026988
2,999560.0050184901
3,996575.8788141491
4,996268.3779763611
5,993603.1779696301
6,991482.415007313
7,992005.1216102623
8,987989.2150463429
9,987290.4539233486
10,987162.9280783259
11,975389.2576339059
12,983364.2727973214
13,982017.9119635246
14,983446.2671535286
15,985605.0409867645
16,988391.9477783762
17,998469.9056926947
18,988059.3319563845
19,984660.2626233653
20,983721.4357697003
21,990191.1223000565
22,986070.8481144629
23,992369.8841182021
24,1008188.2424535031
25,1007942.1643537094
26,983864.3066209411
27,991304.4577882921
28,988644.8399922559
29,979113.1198762911
30,959911.9288628444
31,962112.4996722275
32,956693.4641633478
33,949192.8915921708
34,931285.0953062521
35,952038.2958146883
36,944222.1269082006
37,942480.530829734
38,939854.8192796484
39,915026.2694180679
40,908565.8972203943
41,916019.1484807068
42,889923.6722252213
43,889186.3402166581
44,876677.2172988993
45,920376.0952717607
46,922854.7882754876
47,953492.1836913918
48,963378.3757143463
49,957787.0369875575
50,985862.6622988542
51,1002330.5551666307
52,988165.1669976637
53,971253.31025686
54,1039879.6610603514
55,1021002.6886089529
56,1035021.6920449032
57,1051948.5119790602
58,1024326.6831183292
59,997255.94100332
60,1015216.6245343433
61,1033868.7258337523
62,1062167.1905803874
63,1071368.4243813853
64,1063856.9058542887
65,1037799.5237108883
66,1048535.5685954818
67,1082293.6269790053
68,1076045.8498962668
69,1049170.8480107037
70,1061600.7829202686
71,1071011.1049795947
72,1071120.4386835967
73,1034333.8280099125
74,1056450.3713065863
75,1048170.8285941537
76,1057190.5775139094
77,1060729.327959738
78,1051800.6575489817
79,1058915.4964058492
80,1081392.8323507519
81,1070565.440529752
82,1073000.1392528503
83,1101003.011629421
84,1092228.047640178
85,1103354.1115503625
86,1087493.836443942
87,1108758.3739516765
88,1087495.9636133444
89,1091234.7666706995
90,1074297.7302467797
91,1079572.136729601
92,1066928.4138215082
93,1099860.3335217386
94,1090636.4841281238
95,1077951.5863580836
96,1066996.0041665595
97,1063234.01815668
98,1095709.0908541873
99,1074575.2777339318
100,1090816.1682618812
101,1106465.1010949349
102,1127464.4438869676
103,1119533.7752441268
104,1113113.8552493611
105,1119161.7582323903
106,1115393.261448548
107,1119017.1355356881
108,1122758.4800178083
109,1119461.874587075
110,1124412.9100650416
111,1124584.291111691
112,1102938.7465722433
113,1090054.264290494
114,1088528.5869753074
115,1096514.9321783641
116,1098159.000991422
117,1071585.0302907291
118,1068932.5834311077
119,1067124.3267427192
120,1088253.9016064121
121,1086271.2896960992
122,1096176.360734602
123,1087621.7260604557
124,1091676.7193594803
125,1060456.7678649023
126,1066496.6030388498
127,1049660.3821875546
128,1054474.5793141185
129,1056679.6800420387
130,1044595.2125640106
131,1070136.6593538318
132,1075815.9179588982
133,1107831.464691795
134,1120274.6411085788
135,1134680.975195572
136,1145347.6257480555
137,1155573.0581208293
138,1151648.492090084
139,1172820.8801151703
140,1180848.920366294
141,1181565.1440839036
142,1180053.7641138942
143,1177360.9508356499
144,1187686.6119432673
145,1190041.2854741453
146,1204628.5282374613
147,1206932.0611824295
148,1203151.9399766128
149,1199467.1249578102
150,1214783.6680962865
151,1213645.831303762
152,1201849.9999351227
153,1218610.5024550674
154,1224591.1836070986
155,1210616.5257688018
156,1184656.8161255536
157,1194785.4789777384
158,1201573.4650134083
159,1210493.0723945962
160,1230966.0499907015
161,1229876.7976646696
162,1240271.6688843279
163,1240103.7917560653
164,1249602.2733823778
165,1244992.880685415
166,1242705.090759803
167,1218638.297142799
168,1209309.6982616624
169,1215279.5633143538
170,1226829.376903756
171,1234645.5175277102
172,1241758.6755999185
173,1247375.739690375
174,1243816.7447674356
175,1249532.7896386518
176,1254404.4452524115
177,1269956.3369594282
178,1269492.6880052274
179,1272629.9490117903
180,1266868.2949037068
181,1274562.7825388033
182,1263452.4655223473
183,1253926.0345669622
184,1250608.93916407
185,1272129.3702420362
186,1280769.271064492
187,1277297.5602644796
188,1252358.7873434557
189,1249307.8549031634
190,1264009.5994939262
