,0
0,6505.943499684334
1,-12812.610208939528
2,1360.449149171356
3,282.1683163868729
4,9082.191712153843
5,11282.254039833555
6,1094.2088077422231
7,-1650.2197211813182
8,4826.214329668554
9,5048.991546107223
10,154.83773243357427
11,-8178.232799486723
12,-1490.2028056439012
13,-1886.2040438160766
14,-2014.883192657493
15,6683.845001506619
16,-12309.78299268824
17,-4122.257299063145
18,8377.078755505965
19,-5277.28267102479
20,-3042.2181560239987
21,1919.9326341123087
22,400.6863189297728
23,37.167562649119645
24,10394.308753130026
25,-5187.034878644394
26,2266.325903518824
27,-11322.7852826569
28,8386.866468161228
29,-16751.862443816848
30,-2588.30092290265
31,-5639.583498357446
32,5732.700387750636
33,-2351.9476274382323
34,13877.633510789135
35,10524.255729724071
36,-4226.588619975606
37,3375.061136598466
38,270.678967557149
39,2758.482750443043
40,2315.106720879907
41,-1499.5255227219313
42,4600.204423747491
43,3502.318486107746
44,4077.1274679417256
45,-4044.9445456399117
46,3664.994745986536
47,-2883.400704150088
48,-1387.2250680271536
49,-5643.601204229286
50,6817.086205320666
51,-2586.4748992417008
52,5865.8791580447
53,5888.058532632887
54,-1789.7670897936914
55,17208.57683635992
56,-41232.22306392994
57,-21902.46756807668
58,14126.817160184844
59,23344.09943393513
60,14013.998782366281
61,-463.2571133435704
