,0
0,1321070.550934777
1,1321058.186338149
2,1321047.2450453315
3,1321047.2450453315
4,1321047.2450453315
5,1321047.2450453315
6,1321047.2450453315
7,1321047.2450453315
8,1321047.2450453315
9,1321047.2450453315
10,1321047.2450453315
11,1321047.2450453315
12,1321047.2450453315
13,1321047.2450453315
14,1321047.2450453315
15,1321047.2450453315
16,1321047.2450453315
17,1321047.2450453315
18,1321047.2450453315
19,1321047.2450453315
20,1321047.2450453315
21,1321047.2450453315
22,1321047.2450453315
23,1321047.2450453315
24,1321047.2450453315
25,1321047.2450453315
26,1321047.2450453315
27,1321047.2450453315
28,1321047.2450453315
29,1321047.2450453315
30,1321047.2450453315
31,1321047.2450453315
32,1321047.2450453315
33,1321047.2450453315
34,1321047.2450453315
35,1321047.2450453315
36,1321047.2450453315
37,1321047.2450453315
38,1321047.2450453315
39,1321047.2450453315
40,1321047.2450453315
41,1321047.2450453315
42,1321047.2450453315
43,1321047.2450453315
44,1321047.2450453315
45,1321047.2450453315
46,1321047.2450453315
47,1321047.2450453315
48,1321047.2450453315
49,1321047.2450453315
50,1321047.2450453315
51,1321047.2450453315
52,1321047.2450453315
53,1321047.2450453315
54,1321047.2450453315
55,1321047.2450453315
56,1321047.2450453315
57,1321033.7661931538
58,1320744.320266435
59,1321030.076531857
60,1321154.462604092
61,1321469.8013564034
62,1321486.9022769204
