,0
0,1000000.0
1,999993.7205021344
2,999788.2198578164
3,996262.3464306075
4,996096.3739627682
5,993000.4599140696
6,987945.1387301768
7,987298.0550577466
8,978263.68796738
9,978453.1933360007
10,981915.8974457397
11,956844.9652165017
12,982385.7412626527
13,976729.6080078661
14,976470.9581844677
15,977309.287106835
16,985121.8729706145
17,1007797.7560215273
18,983140.4075220958
19,975683.1791701235
20,974300.377115567
21,984773.732150771
22,988523.9886309227
23,1004461.5882388243
24,1030456.461613384
25,1033210.8752926727
26,984458.1252389663
27,1002325.972422571
28,1004434.1520564451
29,998737.7514646023
30,942062.8003680945
31,939357.6564437948
32,931460.8060605469
33,919243.4188249098
34,878640.0575185387
35,934608.5313577108
36,911761.8365056849
37,914517.3678475993
38,909442.3077521934
39,867903.4642546813
40,851616.2823577786
41,879664.6413602899
42,843705.4845031465
43,831276.2938511473
44,820804.9782019691
45,890561.7628115854
46,911205.5681363266
47,942012.5120758179
48,945855.0960580896
49,934824.4530797129
50,965844.6636606642
51,984853.7794731167
52,965983.1108912237
53,948312.816701483
54,1040026.9075797874
55,1033231.9754720834
56,1045826.5510612126
57,1062619.8600042914
58,1030321.3788660418
59,985716.7990798177
60,1011077.6864219405
61,1031402.5540076051
62,1072954.1862091145
63,1098149.6905995423
64,1088276.465386094
65,1064005.5985996851
66,1066381.2496456369
67,1120939.7031834864
68,1125377.521712665
69,1070316.1466267812
70,1094825.5986908623
71,1105351.888151825
72,1102545.4031855015
73,1061596.4619335218
74,1091703.885989679
75,1093300.855315707
76,1105998.6053986433
77,1112374.5191282239
78,1108922.0971906448
79,1109065.5953907403
80,1149877.580952277
81,1155285.6197647084
82,1162600.919671032
83,1200086.960206127
84,1206623.646102683
85,1224652.637965085
86,1197670.5896165678
87,1237410.7897688474
88,1215924.4735504338
89,1213564.887033645
90,1174322.625891029
91,1191327.2716776996
92,1186812.8371344472
93,1236865.9497008557
94,1232458.6410237346
95,1212997.231103612
96,1198029.5404742348
97,1190891.2986500293
98,1228102.8891799385
99,1209987.790631776
100,1234697.7627637468
101,1245562.3771093106
102,1276845.1887233607
103,1282403.000758728
104,1268343.1763844742
105,1309415.8426745418
106,1322362.6709843623
107,1322018.8212385452
108,1324401.8841107767
109,1315567.8185201543
110,1304221.4845920652
111,1309380.7404688555
112,1280828.0343504094
113,1274556.5204814319
114,1257664.7995848337
115,1268021.8734273373
116,1262552.8046751318
117,1220941.1883783562
118,1215020.6167325266
119,1202206.6534668296
120,1224724.0458468427
121,1225105.0626120449
122,1241035.6649428399
123,1229097.4166487637
124,1229501.6904689127
125,1193943.7100430385
126,1201839.3485721552
127,1170664.9709815632
128,1163366.9484971273
129,1178872.366731436
130,1171271.2050817448
131,1210053.8725464612
132,1212205.5674416765
133,1253048.441991956
134,1271422.7808706225
135,1277809.2236239696
136,1298520.9666870837
137,1304646.919124809
138,1295966.114151957
139,1319947.5493845327
140,1323072.7401835287
141,1321613.7857726607
142,1316959.1928996223
143,1313558.3616143283
144,1324678.5989073215
145,1327855.262292457
146,1345621.197707534
147,1349099.3624011253
148,1351405.6308461581
149,1354589.6076768218
150,1359094.4260704273
151,1342301.2430974802
152,1330698.2577398578
153,1357064.1385703946
154,1362224.357382346
155,1341594.2582407296
156,1308590.2461442307
157,1319061.7668868087
158,1320986.7604535834
159,1338939.8685744517
160,1359075.7759668736
161,1367201.0887675595
162,1384542.6463871084
163,1389412.0758366268
164,1416560.1359208054
165,1408870.2156925637
166,1399490.9656074394
167,1370378.0977422923
168,1360056.676393389
169,1370106.013876164
170,1384146.8144045202
171,1403046.3476068436
172,1418396.2303979082
173,1436055.8785659005
174,1439857.6579854984
175,1446607.2229971043
176,1455079.675799172
177,1473211.1168866823
178,1478447.1669858387
179,1486773.7079914932
180,1480694.4174658542
181,1493758.1478593706
182,1477713.9084603123
183,1467198.1741077388
184,1452665.462129014
185,1477198.6315770247
186,1495033.6461139761
187,1492485.2875765387
188,1454654.012889002
189,1448412.8449777227
190,1479002.5452535965
191,1487589.2991295673
192,1498493.3318340043
193,1502033.015976716
194,1516649.5614181075
195,1514576.2763424458
196,1509171.873185674
197,1535216.8864097325
198,1526339.7496245636
