account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
1000089.1633886332,20160105,8.916338863307338e-05,2016-01-05
996192.367849128,20160106,-0.0038964481189872613,2016-01-06
987861.9035834359,20160107,-0.008362304846480928,2016-01-07
982824.6223075446,20160108,-0.005099175560489555,2016-01-08
982839.8994512205,20160111,1.5544119804422607e-05,2016-01-11
987522.2848287034,20160112,0.00476413847270285,2016-01-12
972304.6056116343,20160113,-0.015409960312651294,2016-01-13
983242.217542222,20160114,0.011249161906116134,2016-01-14
961639.6873497241,20160115,-0.021970710580854647,2016-01-15
962983.4003023412,20160119,0.0013973143686700773,2016-01-19
945713.5391542079,20160120,-0.017933705962855817,2016-01-20
948831.7402861734,20160121,0.0032971941321198184,2016-01-21
963542.8060097257,20160122,0.015504398829570443,2016-01-22
948992.1697655312,20160125,-0.01510118300239538,2016-01-25
970914.6757393574,20160126,0.02310082914513667,2016-01-26
959134.8970594757,20160127,-0.012132661060984984,2016-01-27
965164.8842497664,20160128,0.006286902091434232,2016-01-28
989348.2382022105,20160129,0.025056189203611634,2016-01-29
985092.9430409991,20160201,-0.0043011095556645396,2016-02-01
968168.4155141881,20160202,-0.01718064031051192,2016-02-02
982603.999885376,20160203,0.014910199651081646,2016-02-03
990569.2393157756,20160204,0.008106255858238764,2016-02-04
980510.3147505785,20160205,-0.010154691026086349,2016-02-05
968742.1115439908,20160208,-0.012002120762575896,2016-02-08
969218.2100354412,20160209,0.0004914605092283253,2016-02-09
963422.2730391534,20160210,-0.00598001248457336,2016-02-10
945945.0344144602,20160211,-0.018140787392801894,2016-02-11
967378.8612947632,20160212,0.022658638822043775,2016-02-12
977494.8347449198,20160216,0.010457095823467988,2016-02-16
990893.0616276428,20160217,0.013706698395208772,2016-02-17
984777.3291903577,20160218,-0.006171939913717228,2016-02-18
982526.3852746177,20160219,-0.002285738967600537,2016-02-19
995905.3524237984,20160222,0.013616903677799108,2016-02-22
981678.5876097669,20160223,-0.014285257910711002,2016-02-23
987655.1970353564,20160224,0.006088152987162143,2016-02-24
1001600.0496832365,20160225,0.014119150782315959,2016-02-25
1000221.3753786358,20160226,-0.0013764718812031562,2016-02-26
993564.60175707,20160229,-0.0066553003019415025,2016-02-29
1015759.1657674308,20160301,0.022338319995610423,2016-03-01
1015935.196926266,20160302,0.00017330009392746426,2016-03-02
1018486.0917019508,20160303,0.0025108833549645215,2016-03-03
1022678.4375886205,20160304,0.004116252466112691,2016-03-04
1022897.059909128,20160307,0.0002137742544205956,2016-03-07
1014738.4887301056,20160308,-0.007975945477590063,2016-03-08
1017603.8947255436,20160309,0.0028237876332293244,2016-03-09
1018092.1474479531,20160310,0.0004798062634590039,2016-03-10
1030827.4035364337,20160311,0.012508942457128303,2016-03-11
1028889.851264218,20160314,-0.0018796088128513189,2016-03-14
1027493.5088940073,20160315,-0.0013571349435461677,2016-03-15
1029497.7380638843,20160316,0.0019506003225600033,2016-03-16
1038769.6887805313,20160317,0.009006285661282032,2016-03-17
1049787.739324786,20160318,0.010606827156450338,2016-03-18
1046729.8209878562,20160321,-0.002912892027960412,2016-03-21
1041770.5346152764,20160322,-0.004737885816513243,2016-03-22
1038978.1799209513,20160323,-0.002680393235883094,2016-03-23
1039089.8378213621,20160324,0.00010746895610380669,2016-03-24
1042375.0632200395,20160328,0.003161637501494008,2016-03-28
1046721.3457404864,20160329,0.004169595641534851,2016-03-29
1053812.2563696005,20160330,0.0067744014755883875,2016-03-30
1053639.9859539068,20160331,-0.00016347353587176094,2016-03-31
1064901.8975991998,20160401,0.010688576549320317,2016-04-01
1057906.066694739,20160404,-0.006569460454744935,2016-04-04
1057906.066694739,20160405,0.0,2016-04-05
1052989.6985700438,20160406,-0.00464726338138477,2016-04-06
1040177.0883611044,20160407,-0.01216784003332505,2016-04-07
1041537.5375102756,20160408,0.0013079014760022378,2016-04-08
1041819.7058266624,20160411,0.0002709151674564758,2016-04-11
1050901.8975388163,20160412,0.008717623271434993,2016-04-12
1062184.15157865,20160413,0.010735782346817047,2016-04-13
1063278.360386392,20160414,0.0010301498154681177,2016-04-14
1061628.1406652108,20160415,-0.0015520110092164252,2016-04-15
1066454.354994879,20160418,0.00454604973700512,2016-04-18
1071503.3465409866,20160419,0.004734371914240754,2016-04-19
1071658.18427342,20160420,0.00014450513190955583,2016-04-20
1063479.9514739334,20160421,-0.007631381833780648,2016-04-21
1061989.7486682895,20160422,-0.001401251432693762,2016-04-22
1060103.5446244734,20160425,-0.001776103814732033,2016-04-25
1058088.661431816,20160426,-0.0019006475385111576,2016-04-26
1064772.5064333226,20160427,0.006316904476097562,2016-04-27
1052462.7234406343,20160428,-0.011560951206302628,2016-04-28
1048340.4661415713,20160429,-0.003916772734322449,2016-04-29
1056717.5448970771,20160502,0.007990799769790335,2016-05-02
1051440.2622260523,20160503,-0.004994033359726924,2016-05-03
1048398.0440700285,20160504,-0.002893381835676556,2016-05-04
1050317.976704141,20160505,0.001831301236178362,2016-05-05
1050718.6630230704,20160506,0.0003814904893724158,2016-05-06
1050755.8305857196,20160509,3.537346766280258e-05,2016-05-09
1061150.1393388496,20160510,0.00989222086670316,2016-05-10
